Method,K,Silhouette,Calinski_Harabasz,Davies_Bouldin
K-means,2,0.4360561669071353,240.9745631461747,0.8828938333632977
GMM,2,0.3919270127904621,183.3091952726282,1.016380727621735
Ward,2,0.40556133732992716,196.12762304425402,0.8757660351372366
K-means,3,0.4152597087269434,240.05379491221956,0.8367945410707361
GMM,3,0.3679212374198764,186.78775614850449,0.9028780693501433
Ward,3,0.3762823941115406,208.5135159492147,0.9351373127156902
K-means,4,0.41798696412271286,248.43594331415173,0.7477537066948099
GMM,4,0.3804877924347159,210.3835901871007,0.843380613132424
Ward,4,0.35429735090872655,184.0629600827367,0.856332136357734
K-means,5,0.39028967488807215,241.4937160199321,0.8008250313941714
GMM,5,0.30220807485199674,182.5014258145602,0.8832713336790862
Ward,5,0.341102618103322,189.28362253293994,0.8569977731009386
K-means,6,0.37141470462035253,241.2354307033669,0.8408782102960458
GMM,6,0.26124384463889244,171.50701563814155,0.9285923476818742
Ward,6,0.34501152700891413,217.44489059001,0.8601340257600301
