Solution,Method,K,Bootstrap_Run,Adjusted_Rand_Index
"K-means, K=2",K-means,2,1,0.9667999343804242
"K-means, K=2",K-means,2,2,0.8396088724586405
"K-means, K=2",K-means,2,3,0.8550224405288687
"K-means, K=2",K-means,2,4,0.8550224405288687
"K-means, K=2",K-means,2,5,0.8550224405288687
"K-means, K=2",K-means,2,6,0.8705713336014073
"K-means, K=2",K-means,2,7,0.9668018332898981
"K-means, K=2",K-means,2,8,0.9833296947124791
"K-means, K=2",K-means,2,9,0.9020737560296546
"K-means, K=2",K-means,2,10,0.8550224405288687
"K-means, K=2",K-means,2,11,0.98333071177957
"K-means, K=2",K-means,2,12,0.98333071177957
"K-means, K=2",K-means,2,13,0.9504106111936163
"K-means, K=2",K-means,2,14,0.934164882396938
"K-means, K=2",K-means,2,15,0.8092130221950703
"K-means, K=2",K-means,2,16,0.7500497229985442
"K-means, K=2",K-means,2,17,1.0
"K-means, K=2",K-means,2,18,0.9667999343804242
"K-means, K=2",K-means,2,19,1.0
"K-means, K=2",K-means,2,20,0.9833296947124791
"K-means, K=2",K-means,2,21,0.9341488131282076
"K-means, K=2",K-means,2,22,0.824343377335595
"K-means, K=2",K-means,2,23,0.934164882396938
"K-means, K=2",K-means,2,24,0.9180566024790418
"K-means, K=2",K-means,2,25,0.9180566024790418
"K-means, K=2",K-means,2,26,0.8550224405288687
"K-means, K=2",K-means,2,27,0.9504132583504578
"K-means, K=2",K-means,2,28,0.8550224405288687
"K-means, K=2",K-means,2,29,0.9668018332898981
"K-means, K=2",K-means,2,30,0.8395152576409266
"K-means, K=2",K-means,2,31,0.824343377335595
"K-means, K=2",K-means,2,32,0.8395691148044232
"K-means, K=2",K-means,2,33,0.8396088724586405
"K-means, K=2",K-means,2,34,0.824339359159317
"K-means, K=2",K-means,2,35,0.8705713336014073
"K-means, K=2",K-means,2,36,1.0
"K-means, K=2",K-means,2,37,0.886255590334738
"K-means, K=2",K-means,2,38,0.8705713336014073
"K-means, K=2",K-means,2,39,0.8549428035129181
"K-means, K=2",K-means,2,40,0.9833296947124791
"K-means, K=2",K-means,2,41,0.9180528531108129
"K-means, K=2",K-means,2,42,0.8396131528768797
"K-means, K=2",K-means,2,43,0.9504132583504578
"K-means, K=2",K-means,2,44,0.98333071177957
"K-means, K=2",K-means,2,45,0.9341616189614786
"K-means, K=2",K-means,2,46,0.824343377335595
"K-means, K=2",K-means,2,47,1.0
"K-means, K=2",K-means,2,48,0.9504041812073128
"K-means, K=2",K-means,2,49,0.9180566024790418
"K-means, K=2",K-means,2,50,0.8550224405288687
"K-means, K=2",K-means,2,51,0.9504041812073128
"K-means, K=2",K-means,2,52,0.9020883172583313
"K-means, K=2",K-means,2,53,0.8550224405288687
"K-means, K=2",K-means,2,54,1.0
"K-means, K=2",K-means,2,55,0.8550224405288687
"K-means, K=2",K-means,2,56,0.824339359159317
"K-means, K=2",K-means,2,57,0.7356494544218465
"K-means, K=2",K-means,2,58,1.0
"K-means, K=2",K-means,2,59,0.8550180185442809
"K-means, K=2",K-means,2,60,0.934164882396938
"K-means, K=2",K-means,2,61,0.9833296947124791
"K-means, K=2",K-means,2,62,0.98333071177957
"K-means, K=2",K-means,2,63,0.8550224405288687
"K-means, K=2",K-means,2,64,0.8705713336014073
"K-means, K=2",K-means,2,65,0.98333071177957
"K-means, K=2",K-means,2,66,0.9667999343804242
"K-means, K=2",K-means,2,67,0.8396088724586405
"K-means, K=2",K-means,2,68,0.9504132583504578
"K-means, K=2",K-means,2,69,0.9504041812073128
"K-means, K=2",K-means,2,70,1.0
"K-means, K=2",K-means,2,71,0.8705713336014073
"K-means, K=2",K-means,2,72,1.0
"K-means, K=2",K-means,2,73,0.824343377335595
"K-means, K=2",K-means,2,74,0.9341488131282076
"K-means, K=2",K-means,2,75,0.9341616189614786
