Variable,Count,Mean,Standard_Deviation,Minimum,Median,Maximum,Skewness
SST,240,17.491747516666667,5.964372873617196,8.39501,17.07969,27.7583,0.10292380648236356
NO3,240,3.475319370833333,1.452410684663505,1.145063,3.3464910000000003,6.747303,0.382458184987385
PO4,240,0.026701482616666664,0.01607768414039637,0.007451985,0.01903711,0.06777366,0.978984188484802
SPCo2,240,33.689700583333334,6.876478511147011,23.73429,32.88124,47.11713,0.23184811546769868
MLD,240,21.55048533333333,11.1263626429447,10.26612,17.57196,46.2741,0.5562832197408077
SSS,240,32.099055416666666,0.48185872506576155,30.77983,32.180015,32.83481,-0.4338739745531763
SSH,240,0.26487589333333333,0.071063168372026,0.1175928,0.25990535000000003,0.4416628,0.23925305827304
PAR,240,33.384332375,11.199579185154176,13.96999,35.6138,50.18477,-0.27055482413684445
PDO,240,-0.6574583333333333,1.0886399898705392,-3.11,-0.635,1.86,0.057821054636326294
NINO_3.4,240,-0.04491666666666667,0.8063217749397448,-1.79,-0.09,2.57,0.5305626307118698
WPI,240,-0.12987500000000002,1.0512986514794502,-2.53,-0.05500000000000001,2.45,-0.12876889375054879
MHW_MeanInt,240,0.3044018725210422,0.33335057986530947,0.0,0.20375238865780743,1.7267168665638983,1.664499963285659
MHW_MaxInt,240,0.38829983036284493,0.4387483893215693,0.0,0.2557842449947466,2.3617158860606247,1.8239294460453286
MHW_CumInt,240,4.468259071503062,7.076917161504442,0.0,2.0654188175931454,44.954996240525816,3.187569790446518
