Variable,State_1,State_2,State_3
SST,11.16464,23.4168,18.69122
NO3,2.025447,4.886552,3.571211
PO4,0.03943512,0.01635257,0.017828335
SPCo2,26.62646,42.30684,33.572305
MLD,32.8154,10.65967,21.898225
SSS,32.569,31.63861,32.027495
SSH,0.2117888,0.2736525,0.3074975
PAR,26.1026,44.64119,31.30216
PDO,-0.46,-0.62,-0.855
NINO_3.4,-0.15,-0.04,-0.05500000000000001
WPI,0.19,-0.3,-0.035
MHW_MeanInt,0.19996771019989454,0.35431594313584075,0.15224673692257928
MHW_MaxInt,0.25538668462788167,0.438805639200904,0.1915494314555125
MHW_CumInt,1.9763250987361303,3.6372597565552827,1.5834181815798938
