Variable,SST,NO3,PO4,SPCo2,MLD,SSS,SSH,PAR,PDO,NINO_3.4,WPI,MHW_MeanInt,MHW_MaxInt,MHW_CumInt
SST,1.0,0.9451657146825466,-0.5892341880935433,0.897627562978524,-0.631809580027431,-0.9588221839018004,0.7031866872688762,0.508037465928228,-0.11151908738117691,0.044897069847482034,-0.24361350464187126,0.1568635792015951,0.1496948652792891,0.1250149746506672
NO3,0.9451657146825466,1.0,-0.585974582892064,0.9129411968957795,-0.7259188527578604,-0.9258246349002742,0.5721366690393931,0.5710151217903089,-0.02061096319004934,0.07223776117651869,-0.21960229593587516,0.20523894273204124,0.19583315254698608,0.1578071965464179
PO4,-0.5892341880935433,-0.585974582892064,1.0,-0.7220871890136982,0.7623205263980277,0.5884349504483924,-0.2295612771055053,-0.7115783260126044,0.0585714908966436,0.026512961556620824,0.20088770291750144,-0.2634037936567529,-0.2572820001740571,-0.20911584711288633
SPCo2,0.897627562978524,0.9129411968957795,-0.7220871890136982,1.0,-0.8765603569506415,-0.9003984011869115,0.4966249414052327,0.7769561971562007,-0.04954687002633433,0.047183635364569904,-0.28065509108761266,0.33949216557369666,0.3342792657064833,0.3005842268478847
MLD,-0.631809580027431,-0.7259188527578604,0.7623205263980277,-0.8765603569506415,1.0,0.657884537007882,-0.11704543481657667,-0.9105088630010938,-0.05697898733887308,-0.07804489102714865,0.24380882358470746,-0.3921454925588684,-0.3827883155948896,-0.31612135954120424
SSS,-0.9588221839018004,-0.9258246349002742,0.5884349504483924,-0.9003984011869115,0.657884537007882,1.0,-0.67088607045531,-0.5341214839327071,0.09185133937294292,-0.029156761334804965,0.2597211365436462,-0.17821657986510486,-0.17376325964431208,-0.15017672220590064
SSH,0.7031866872688762,0.5721366690393931,-0.2295612771055053,0.4966249414052327,-0.11704543481657667,-0.67088607045531,1.0,-0.0009922047257764893,-0.10301271378477825,0.06943554648815131,-0.14537675723716953,-0.011701028694449335,-0.006202526153412011,0.050346803263741975
PAR,0.508037465928228,0.5710151217903089,-0.7115783260126044,0.7769561971562007,-0.9105088630010938,-0.5341214839327071,-0.0009922047257764893,1.0,0.057314936576734726,0.07450132214303601,-0.2952553990856657,0.38416337527676575,0.37663440266255405,0.3128156605080072
PDO,-0.11151908738117691,-0.02061096319004934,0.0585714908966436,-0.04954687002633433,-0.05697898733887308,0.09185133937294292,-0.10301271378477825,0.057314936576734726,1.0,0.5793934635522707,-0.03825497252798075,-0.05557370143647483,-0.0610948714559381,-0.045490621283005364
NINO_3.4,0.044897069847482034,0.07223776117651869,0.026512961556620824,0.047183635364569904,-0.07804489102714865,-0.029156761334804965,0.06943554648815131,0.07450132214303601,0.5793934635522707,1.0,-0.022381390158488182,-0.02289880512134481,-0.026880432253902787,-0.026125602908702927
WPI,-0.24361350464187126,-0.21960229593587516,0.20088770291750144,-0.28065509108761266,0.24380882358470746,0.2597211365436462,-0.14537675723716953,-0.2952553990856657,-0.03825497252798075,-0.022381390158488182,1.0,-0.040664726739548594,-0.040277985161031656,-0.020217773272435947
MHW_MeanInt,0.1568635792015951,0.20523894273204124,-0.2634037936567529,0.33949216557369666,-0.3921454925588684,-0.17821657986510486,-0.011701028694449335,0.38416337527676575,-0.05557370143647483,-0.02289880512134481,-0.040664726739548594,1.0,0.9984582262657129,0.9626892492534204
MHW_MaxInt,0.1496948652792891,0.19583315254698608,-0.2572820001740571,0.3342792657064833,-0.3827883155948896,-0.17376325964431208,-0.006202526153412011,0.37663440266255405,-0.0610948714559381,-0.026880432253902787,-0.040277985161031656,0.9984582262657129,1.0,0.9693476977567886
MHW_CumInt,0.1250149746506672,0.1578071965464179,-0.20911584711288633,0.3005842268478847,-0.31612135954120424,-0.15017672220590064,0.050346803263741975,0.3128156605080072,-0.045490621283005364,-0.026125602908702927,-0.020217773272435947,0.9626892492534204,0.9693476977567886,1.0
