Variable_1,Variable_2,Spearman_R,Absolute_Spearman_R,Above_0.80
MHW_MeanInt,MHW_MaxInt,0.9984582262657129,0.9984582262657129,True
MHW_MaxInt,MHW_CumInt,0.9693476977567886,0.9693476977567886,True
MHW_MeanInt,MHW_CumInt,0.9626892492534204,0.9626892492534204,True
SST,SSS,-0.9588221839018004,0.9588221839018004,True
SST,NO3,0.9451657146825466,0.9451657146825466,True
NO3,SSS,-0.9258246349002742,0.9258246349002742,True
NO3,SPCo2,0.9129411968957795,0.9129411968957795,True
MLD,PAR,-0.9105088630010938,0.9105088630010938,True
SPCo2,SSS,-0.9003984011869115,0.9003984011869115,True
SST,SPCo2,0.897627562978524,0.897627562978524,True
SPCo2,MLD,-0.8765603569506415,0.8765603569506415,True
SPCo2,PAR,0.7769561971562007,0.7769561971562007,False
PO4,MLD,0.7623205263980277,0.7623205263980277,False
NO3,MLD,-0.7259188527578604,0.7259188527578604,False
PO4,SPCo2,-0.7220871890136982,0.7220871890136982,False
PO4,PAR,-0.7115783260126044,0.7115783260126044,False
SST,SSH,0.7031866872688762,0.7031866872688762,False
SSS,SSH,-0.67088607045531,0.67088607045531,False
MLD,SSS,0.657884537007882,0.657884537007882,False
SST,MLD,-0.631809580027431,0.631809580027431,False
SST,PO4,-0.5892341880935433,0.5892341880935433,False
PO4,SSS,0.5884349504483924,0.5884349504483924,False
NO3,PO4,-0.585974582892064,0.585974582892064,False
PDO,NINO_3.4,0.5793934635522707,0.5793934635522707,False
NO3,SSH,0.5721366690393931,0.5721366690393931,False
NO3,PAR,0.5710151217903089,0.5710151217903089,False
SSS,PAR,-0.5341214839327071,0.5341214839327071,False
SST,PAR,0.508037465928228,0.508037465928228,False
SPCo2,SSH,0.4966249414052327,0.4966249414052327,False
MLD,MHW_MeanInt,-0.3921454925588684,0.3921454925588684,False
PAR,MHW_MeanInt,0.38416337527676575,0.38416337527676575,False
MLD,MHW_MaxInt,-0.3827883155948896,0.3827883155948896,False
PAR,MHW_MaxInt,0.37663440266255405,0.37663440266255405,False
SPCo2,MHW_MeanInt,0.33949216557369666,0.33949216557369666,False
SPCo2,MHW_MaxInt,0.3342792657064833,0.3342792657064833,False
MLD,MHW_CumInt,-0.31612135954120424,0.31612135954120424,False
