Months,Year,Month_Number,Ecological_State,State_Name,Environmental_Variable,Value
2003-01-01,2003,1,1,Diatom-associated early-year state,SST,10.6536
2003-02-01,2003,2,1,Diatom-associated early-year state,SST,9.226859
2003-03-01,2003,3,1,Diatom-associated early-year state,SST,9.888013
2003-04-01,2003,4,1,Diatom-associated early-year state,SST,11.75001
2003-05-01,2003,5,2,Mixed-prokaryote mid-year state,SST,16.08669
2003-06-01,2003,6,2,Mixed-prokaryote mid-year state,SST,19.74573
2003-07-01,2003,7,2,Mixed-prokaryote mid-year state,SST,23.4168
2003-08-01,2003,8,3,Prokaryote-dominated late-year state,SST,26.00336
2003-09-01,2003,9,3,Prokaryote-dominated late-year state,SST,24.95572
2003-10-01,2003,10,3,Prokaryote-dominated late-year state,SST,21.49835
2003-11-01,2003,11,3,Prokaryote-dominated late-year state,SST,18.29269
2003-12-01,2003,12,3,Prokaryote-dominated late-year state,SST,14.18948
2004-01-01,2004,1,1,Diatom-associated early-year state,SST,10.96138
2004-02-01,2004,2,1,Diatom-associated early-year state,SST,9.451482
2004-03-01,2004,3,1,Diatom-associated early-year state,SST,9.93364
2004-04-01,2004,4,1,Diatom-associated early-year state,SST,12.11376
2004-05-01,2004,5,1,Diatom-associated early-year state,SST,16.42801
2004-06-01,2004,6,2,Mixed-prokaryote mid-year state,SST,20.89214
2004-07-01,2004,7,2,Mixed-prokaryote mid-year state,SST,24.48953
2004-08-01,2004,8,3,Prokaryote-dominated late-year state,SST,27.28089
2004-09-01,2004,9,3,Prokaryote-dominated late-year state,SST,24.63984
2004-10-01,2004,10,3,Prokaryote-dominated late-year state,SST,21.5269
2004-11-01,2004,11,3,Prokaryote-dominated late-year state,SST,18.65132
2004-12-01,2004,12,3,Prokaryote-dominated late-year state,SST,15.45889
2005-01-01,2005,1,1,Diatom-associated early-year state,SST,11.36995
2005-02-01,2005,2,1,Diatom-associated early-year state,SST,9.251629
2005-03-01,2005,3,1,Diatom-associated early-year state,SST,9.172435
2005-04-01,2005,4,1,Diatom-associated early-year state,SST,12.12134
2005-05-01,2005,5,2,Mixed-prokaryote mid-year state,SST,16.07727
2005-06-01,2005,6,2,Mixed-prokaryote mid-year state,SST,21.15738
2005-07-01,2005,7,2,Mixed-prokaryote mid-year state,SST,25.00492
2005-08-01,2005,8,3,Prokaryote-dominated late-year state,SST,25.84355
2005-09-01,2005,9,3,Prokaryote-dominated late-year state,SST,24.64657
2005-10-01,2005,10,3,Prokaryote-dominated late-year state,SST,21.94504
2005-11-01,2005,11,3,Prokaryote-dominated late-year state,SST,18.40416
2005-12-01,2005,12,1,Diatom-associated early-year state,SST,13.54506
2006-01-01,2006,1,1,Diatom-associated early-year state,SST,10.25276
2006-02-01,2006,2,1,Diatom-associated early-year state,SST,9.190073
2006-03-01,2006,3,1,Diatom-associated early-year state,SST,9.62146
2006-04-01,2006,4,1,Diatom-associated early-year state,SST,11.45833
2006-05-01,2006,5,1,Diatom-associated early-year state,SST,15.90524
2006-06-01,2006,6,2,Mixed-prokaryote mid-year state,SST,20.01962
2006-07-01,2006,7,2,Mixed-prokaryote mid-year state,SST,24.27946
2006-08-01,2006,8,2,Mixed-prokaryote mid-year state,SST,27.3431
2006-09-01,2006,9,3,Prokaryote-dominated late-year state,SST,24.75643
2006-10-01,2006,10,3,Prokaryote-dominated late-year state,SST,22.84066
2006-11-01,2006,11,3,Prokaryote-dominated late-year state,SST,18.73112
2006-12-01,2006,12,3,Prokaryote-dominated late-year state,SST,14.60835
2007-01-01,2007,1,1,Diatom-associated early-year state,SST,11.20717
2007-02-01,2007,2,1,Diatom-associated early-year state,SST,10.52907
2007-03-01,2007,3,1,Diatom-associated early-year state,SST,10.88319
2007-04-01,2007,4,1,Diatom-associated early-year state,SST,12.42657
2007-05-01,2007,5,2,Mixed-prokaryote mid-year state,SST,16.44182
2007-06-01,2007,6,2,Mixed-prokaryote mid-year state,SST,20.45933
2007-07-01,2007,7,2,Mixed-prokaryote mid-year state,SST,24.51655
2007-08-01,2007,8,2,Mixed-prokaryote mid-year state,SST,26.72836
2007-09-01,2007,9,3,Prokaryote-dominated late-year state,SST,25.10263
2007-10-01,2007,10,3,Prokaryote-dominated late-year state,SST,21.9488
2007-11-01,2007,11,3,Prokaryote-dominated late-year state,SST,17.88752
2007-12-01,2007,12,1,Diatom-associated early-year state,SST,14.30564
2008-01-01,2008,1,3,Prokaryote-dominated late-year state,SST,10.85685
2008-02-01,2008,2,1,Diatom-associated early-year state,SST,9.153059
2008-03-01,2008,3,1,Diatom-associated early-year state,SST,9.525187
2008-04-01,2008,4,1,Diatom-associated early-year state,SST,11.90121
2008-05-01,2008,5,2,Mixed-prokaryote mid-year state,SST,16.151
2008-06-01,2008,6,2,Mixed-prokaryote mid-year state,SST,20.15845
2008-07-01,2008,7,2,Mixed-prokaryote mid-year state,SST,24.67235
2008-08-01,2008,8,3,Prokaryote-dominated late-year state,SST,26.72248
