Environmental_Variable,N,Mean,SD,Median,Min,Q1,Q3,Max
SST,240,17.491748,5.964373,17.079690,8.395010,11.436235,23.202188,27.758300
NO3,240,3.475319,1.452411,3.346491,1.145063,2.142278,4.651845,6.747303
PO4,240,0.026701,0.016078,0.019037,0.007452,0.014897,0.037620,0.067774
SPCo2,240,33.689701,6.876479,32.881240,23.734290,26.840020,40.053513,47.117130
MLD,240,21.550485,11.126363,17.571960,10.266120,11.035808,31.123438,46.274100
SSS,240,32.099055,0.481859,32.180015,30.779830,31.644783,32.552082,32.834810
SSH,240,0.264876,0.071063,0.259905,0.117593,0.211772,0.318958,0.441663
PAR,240,33.384332,11.199579,35.613800,13.969990,21.570242,43.734125,50.184770
PDO,240,-0.657458,1.088640,-0.635000,-3.110000,-1.510000,0.100000,1.860000
NINO_3.4,240,-0.044917,0.806322,-0.090000,-1.790000,-0.632500,0.480000,2.570000
WPI,240,-0.129875,1.051299,-0.055000,-2.530000,-0.857500,0.605000,2.450000
MHW_MeanInt,240,0.304402,0.333351,0.203752,0.000000,0.047565,0.419817,1.726717
MHW_MaxInt,240,0.388300,0.438748,0.255784,0.000000,0.054851,0.548209,2.361716
MHW_CumInt,240,4.468259,7.076917,2.065419,0.000000,0.384873,5.500228,44.954996
