Model,State,Sensitivity,Specificity,Precision,F1,AUROC_OVR,AUPRC_OVR
Seasonal Baseline,1,0.9066666666666666,0.78125,0.6601941747572816,0.7640449438202248,0.8760833333333333,0.6601852874732224
Seasonal Baseline,2,0.7647058823529411,0.8802395209580839,0.7222222222222222,0.7428571428571428,0.9366854526241635,0.8715721169092171
Seasonal Baseline,3,0.5543478260869565,0.9370629370629371,0.85,0.6710526315789473,0.7623897841289146,0.7162684986579797
CatBoost,1,0.9066666666666666,0.825,0.7083333333333334,0.7953216374269007,0.9124166666666668,0.7129268140009529
CatBoost,2,0.8235294117647058,0.9041916167664671,0.7777777777777778,0.7999999999999999,0.9432898908066221,0.8926563570300081
CatBoost,3,0.5760869565217391,0.9020979020979021,0.7910447761194029,0.6666666666666666,0.8166615992702949,0.7478986031959285
XGBoost,1,0.8533333333333334,0.81875,0.6881720430107527,0.7619047619047621,0.9001666666666667,0.7324117933528708
XGBoost,2,0.8088235294117647,0.8982035928143712,0.7638888888888888,0.7857142857142858,0.938622754491018,0.8685637808491783
XGBoost,3,0.5760869565217391,0.8811188811188811,0.7571428571428571,0.6543209876543209,0.7844329583460019,0.7332616306544817
HistGradientBoosting,1,0.7733333333333333,0.86875,0.7341772151898734,0.7532467532467533,0.913,0.7350419993789474
HistGradientBoosting,2,0.7794117647058824,0.9041916167664671,0.7681159420289855,0.7737226277372262,0.9262064107079957,0.8614297275803987
HistGradientBoosting,3,0.6630434782608695,0.8181818181818182,0.7011494252873564,0.6815642458100558,0.8072362420188507,0.7497308905068879
Equal Soft Voting,1,0.8933333333333333,0.81875,0.6979166666666666,0.783625730994152,0.9212499999999999,0.755544705259831
Equal Soft Voting,2,0.7941176470588235,0.9161676646706587,0.7941176470588235,0.7941176470588235,0.9412645297640014,0.8868358785845426
Equal Soft Voting,3,0.5978260869565217,0.8881118881118881,0.7746478873239436,0.6748466257668712,0.8175737306172088,0.7512736277880847
TCN,1,0.7333333333333333,0.86875,0.7236842105263158,0.7284768211920529,0.8915,0.7042099491536976
TCN,2,0.8382352941176471,0.8982035928143712,0.7702702702702703,0.8028169014084507,0.9427615357520255,0.8861495685209757
TCN,3,0.6739130434782609,0.8391608391608392,0.7294117647058823,0.7005649717514124,0.7880814837336576,0.7603489973628749
CNN-LSTM,1,0.88,0.8375,0.717391304347826,0.7904191616766466,0.9044166666666666,0.7182135816654969
CNN-LSTM,2,0.7794117647058824,0.9101796407185628,0.7794117647058824,0.7794117647058824,0.9314899612539627,0.8724739414762449
CNN-LSTM,3,0.6195652173913043,0.8741258741258742,0.76,0.6826347305389221,0.7872453633323199,0.7418054827719484
