Test_Year,Test_Months,Model,Accuracy,Balanced_Accuracy,Macro_F1
2003,7,Seasonal Baseline,0.7142857142857143,0.8,0.5166666666666667
2003,7,CatBoost,0.7142857142857143,0.8,0.5166666666666667
2003,7,XGBoost,0.7142857142857143,0.8,0.5166666666666667
2003,7,HistGradientBoosting,0.8571428571428571,0.9,0.8444444444444444
2003,7,Equal Soft Voting,0.7142857142857143,0.8,0.5166666666666667
2003,7,TCN,0.8571428571428571,0.9,0.8444444444444444
2003,7,CNN-LSTM,0.8571428571428571,0.9,0.8444444444444444
2004,12,Seasonal Baseline,0.75,0.7999999999999999,0.7388888888888889
2004,12,CatBoost,0.75,0.7999999999999999,0.7388888888888889
2004,12,XGBoost,0.75,0.7999999999999999,0.7388888888888889
2004,12,HistGradientBoosting,0.75,0.7999999999999999,0.7388888888888889
2004,12,Equal Soft Voting,0.75,0.7999999999999999,0.7388888888888889
2004,12,TCN,0.5,0.6,0.49927849927849927
2004,12,CNN-LSTM,0.75,0.8000000000000002,0.7388888888888889
2005,12,Seasonal Baseline,0.8333333333333334,0.8055555555555555,0.810966810966811
2005,12,CatBoost,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,12,XGBoost,0.8333333333333334,0.8055555555555555,0.810966810966811
2005,12,HistGradientBoosting,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,12,Equal Soft Voting,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,12,TCN,0.6666666666666666,0.6722222222222222,0.6666666666666666
2005,12,CNN-LSTM,0.75,0.7388888888888889,0.7388888888888889
2006,12,Seasonal Baseline,0.8333333333333334,0.85,0.8380952380952381
2006,12,CatBoost,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,12,XGBoost,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,12,HistGradientBoosting,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,12,Equal Soft Voting,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,12,TCN,0.9166666666666666,0.9333333333333332,0.9153439153439153
2006,12,CNN-LSTM,1.0,1.0,1.0
2007,12,Seasonal Baseline,0.9166666666666666,0.9166666666666666,0.9220779220779219
2007,12,CatBoost,1.0,1.0,1.0
2007,12,XGBoost,1.0,1.0,1.0
2007,12,HistGradientBoosting,1.0,1.0,1.0
2007,12,Equal Soft Voting,1.0,1.0,1.0
2007,12,TCN,0.9166666666666666,0.9333333333333332,0.9259259259259259
2007,12,CNN-LSTM,0.9166666666666666,0.9166666666666666,0.9220779220779219
2008,12,Seasonal Baseline,0.75,0.7555555555555555,0.7388888888888889
2008,12,CatBoost,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,12,XGBoost,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,12,HistGradientBoosting,0.75,0.7833333333333333,0.7579365079365079
2008,12,Equal Soft Voting,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,12,TCN,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,12,CNN-LSTM,0.75,0.7833333333333333,0.7579365079365079
2009,12,Seasonal Baseline,0.9166666666666666,0.9166666666666666,0.9220779220779219
2009,12,CatBoost,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,12,XGBoost,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,12,HistGradientBoosting,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,12,Equal Soft Voting,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,12,TCN,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,12,CNN-LSTM,0.9166666666666666,0.9333333333333332,0.9153439153439153
2010,12,Seasonal Baseline,0.8333333333333334,0.85,0.8380952380952381
2010,12,CatBoost,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,12,XGBoost,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,12,HistGradientBoosting,0.8333333333333334,0.85,0.85
2010,12,Equal Soft Voting,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,12,TCN,0.75,0.7833333333333333,0.7777777777777777
2010,12,CNN-LSTM,0.75,0.7666666666666666,0.7428571428571429
2011,12,Seasonal Baseline,0.9166666666666666,0.9166666666666666,0.9220779220779219
2011,12,CatBoost,0.9166666666666666,0.8888888888888888,0.8962962962962964
2011,12,XGBoost,0.9166666666666666,0.9166666666666666,0.9220779220779219
2011,12,HistGradientBoosting,0.75,0.7222222222222222,0.7157287157287157
2011,12,Equal Soft Voting,0.75,0.7222222222222222,0.7157287157287157
2011,12,TCN,0.5833333333333334,0.65,0.5786435786435786
2011,12,CNN-LSTM,0.8333333333333334,0.8333333333333334,0.810966810966811
2012,12,Seasonal Baseline,0.6666666666666666,0.7222222222222222,0.6746031746031745
2012,12,CatBoost,0.5833333333333334,0.611111111111111,0.6151515151515151
2012,12,XGBoost,0.5833333333333334,0.611111111111111,0.5888888888888889
2012,12,HistGradientBoosting,0.6666666666666666,0.6111111111111112,0.6380952380952382
