Run_Type,Test_Year,Model,Best_Inner_Balanced_Accuracy,Best_Parameters
Outer_LOYO,2003,CatBoost,0.7913389124205689,"{""iterations"": 600, ""depth"": 5, ""learning_rate"": 0.04957111647403937, ""l2_leaf_reg"": 19.039174578188355, ""random_strength"": 0.7283803350384382, ""bagging_temperature"": 2.436107261743481, ""border_count"": 128}"
Outer_LOYO,2003,XGBoost,0.7741300917578007,"{""n_estimators"": 650, ""max_depth"": 3, ""learning_rate"": 0.020276631702357554, ""min_child_weight"": 1.8428921195451884, ""subsample"": 0.7781478516611735, ""colsample_bytree"": 0.7963595978200455, ""gamma"": 1.6245057087231922, ""reg_alpha"": 0.006366436771198221, ""reg_lambda"": 0.11048009562184505}"
Outer_LOYO,2003,HistGradientBoosting,0.7875603176493269,"{""max_iter"": 300, ""learning_rate"": 0.03238939947361969, ""max_leaf_nodes"": 25, ""max_depth"": 5, ""min_samples_leaf"": 10, ""l2_regularization"": 0.3398418953689881}"
Outer_LOYO,2004,CatBoost,0.7809799681182101,"{""iterations"": 450, ""depth"": 5, ""learning_rate"": 0.018057376826401576, ""l2_leaf_reg"": 2.154342237943509, ""random_strength"": 0.03798999698890779, ""bagging_temperature"": 2.9643833029567563, ""border_count"": 128}"
Outer_LOYO,2004,XGBoost,0.7889656921365429,"{""n_estimators"": 600, ""max_depth"": 6, ""learning_rate"": 0.1628720345697838, ""min_child_weight"": 2.6036101851892757, ""subsample"": 0.940455858526128, ""colsample_bytree"": 0.7909870594634231, ""gamma"": 0.6918157528305272, ""reg_alpha"": 0.00011220741530028748, ""reg_lambda"": 0.17657625792748413}"
Outer_LOYO,2004,HistGradientBoosting,0.7707932141886072,"{""max_iter"": 400, ""learning_rate"": 0.027796495597109193, ""max_leaf_nodes"": 28, ""max_depth"": 3, ""min_samples_leaf"": 13, ""l2_regularization"": 0.0005096297921085}"
Outer_LOYO,2005,CatBoost,0.7785269779595227,"{""iterations"": 400, ""depth"": 6, ""learning_rate"": 0.017203360819943524, ""l2_leaf_reg"": 4.080036990507723, ""random_strength"": 1.7844921302377126, ""bagging_temperature"": 1.2545982054978326, ""border_count"": 64}"
Outer_LOYO,2005,XGBoost,0.7602546276779013,"{""n_estimators"": 450, ""max_depth"": 4, ""learning_rate"": 0.020335751361703132, ""min_child_weight"": 1.712772015710061, ""subsample"": 0.7416176412472946, ""colsample_bytree"": 0.6515525857687272, ""gamma"": 0.5113153560087972, ""reg_alpha"": 1.0470343337288883, ""reg_lambda"": 13.734556622024808}"
Outer_LOYO,2005,HistGradientBoosting,0.7665357784599103,"{""max_iter"": 250, ""learning_rate"": 0.0570402402369286, ""max_leaf_nodes"": 29, ""max_depth"": 6, ""min_samples_leaf"": 8, ""l2_regularization"": 0.5946494198031471}"
Outer_LOYO,2006,CatBoost,0.7778181557833092,"{""iterations"": 700, ""depth"": 5, ""learning_rate"": 0.01985101655251903, ""l2_leaf_reg"": 5.43138139028641, ""random_strength"": 1.4487283300498772, ""bagging_temperature"": 2.4158172209391884, ""border_count"": 128}"
