Year,Model,Balanced_Accuracy
2003,CatBoost,0.8
2003,XGBoost,0.8
2003,HistGradientBoosting,0.9
2003,Soft Voting,0.8
2003,TCN,0.9
2003,CNN-LSTM,0.9
2004,CatBoost,0.7999999999999999
2004,XGBoost,0.7999999999999999
2004,HistGradientBoosting,0.7999999999999999
2004,Soft Voting,0.7999999999999999
2004,TCN,0.6
2004,CNN-LSTM,0.8000000000000002
2005,CatBoost,0.8888888888888888
2005,XGBoost,0.8055555555555555
2005,HistGradientBoosting,0.8888888888888888
2005,Soft Voting,0.8888888888888888
2005,TCN,0.6722222222222222
2005,CNN-LSTM,0.7388888888888889
2006,CatBoost,0.9166666666666666
2006,XGBoost,0.9166666666666666
2006,HistGradientBoosting,0.9166666666666666
2006,Soft Voting,0.9166666666666666
2006,TCN,0.9333333333333332
2006,CNN-LSTM,1.0
2007,CatBoost,1.0
2007,XGBoost,1.0
2007,HistGradientBoosting,1.0
2007,Soft Voting,1.0
2007,TCN,0.9333333333333332
2007,CNN-LSTM,0.9166666666666666
2008,CatBoost,0.8666666666666667
2008,XGBoost,0.8666666666666667
2008,HistGradientBoosting,0.7833333333333333
2008,Soft Voting,0.8666666666666667
2008,TCN,0.8666666666666667
2008,CNN-LSTM,0.7833333333333333
2009,CatBoost,0.9333333333333332
2009,XGBoost,0.9333333333333332
2009,HistGradientBoosting,0.9333333333333332
2009,Soft Voting,0.9333333333333332
2009,TCN,0.9333333333333332
2009,CNN-LSTM,0.9333333333333332
2010,CatBoost,0.9166666666666666
2010,XGBoost,0.9166666666666666
2010,HistGradientBoosting,0.85
2010,Soft Voting,0.9166666666666666
2010,TCN,0.7833333333333333
2010,CNN-LSTM,0.7666666666666666
2011,CatBoost,0.8888888888888888
2011,XGBoost,0.9166666666666666
2011,HistGradientBoosting,0.7222222222222222
2011,Soft Voting,0.7222222222222222
2011,TCN,0.65
2011,CNN-LSTM,0.8333333333333334
2012,CatBoost,0.611111111111111
2012,XGBoost,0.611111111111111
2012,HistGradientBoosting,0.6111111111111112
2012,Soft Voting,0.6666666666666666
2012,TCN,0.7222222222222222
2012,CNN-LSTM,0.8333333333333334
2013,CatBoost,0.7222222222222222
2013,XGBoost,0.7777777777777777
2013,HistGradientBoosting,0.8333333333333334
2013,Soft Voting,0.7222222222222222
2013,TCN,0.7777777777777777
2013,CNN-LSTM,0.8333333333333334
2014,CatBoost,0.5833333333333334
2014,XGBoost,0.4166666666666667
2014,HistGradientBoosting,0.5833333333333334
2014,Soft Voting,0.5833333333333334
2014,TCN,0.4444444444444444
2014,CNN-LSTM,0.4444444444444444
2015,CatBoost,0.8095238095238094
2015,XGBoost,0.8095238095238094
2015,HistGradientBoosting,0.48809523809523814
2015,Soft Voting,0.7261904761904762
2015,TCN,0.7738095238095237
2015,CNN-LSTM,0.7738095238095237
2016,CatBoost,0.43333333333333335
2016,XGBoost,0.43333333333333335
2016,HistGradientBoosting,0.5
2016,Soft Voting,0.5
2016,TCN,0.7666666666666666
2016,CNN-LSTM,0.7000000000000001
2017,CatBoost,0.6333333333333333
2017,XGBoost,0.6333333333333333
2017,HistGradientBoosting,0.3666666666666667
2017,Soft Voting,0.5666666666666667
2017,TCN,0.7000000000000001
2017,CNN-LSTM,0.5333333333333333
2018,CatBoost,0.6666666666666666
2018,XGBoost,0.6666666666666666
2018,HistGradientBoosting,0.6666666666666666
2018,Soft Voting,0.6666666666666666
2018,TCN,0.8333333333333334
2018,CNN-LSTM,0.6666666666666666
2019,CatBoost,0.9333333333333332
2019,XGBoost,0.9333333333333332
2019,HistGradientBoosting,0.7333333333333334
2019,Soft Voting,0.9333333333333332
2019,TCN,0.7333333333333334
2019,CNN-LSTM,0.7999999999999999
2020,CatBoost,0.75
2020,XGBoost,0.4166666666666667
2020,HistGradientBoosting,0.75
2020,Soft Voting,0.75
2020,TCN,0.6666666666666666
2020,CNN-LSTM,0.6666666666666666
2021,CatBoost,0.6888888888888888
2021,XGBoost,0.6888888888888888
2021,HistGradientBoosting,0.6055555555555555
2021,Soft Voting,0.6888888888888888
2021,TCN,1.0
2021,CNN-LSTM,0.6888888888888888
2022,CatBoost,0.6666666666666666
2022,XGBoost,0.6666666666666666
2022,HistGradientBoosting,0.8333333333333334
2022,Soft Voting,0.7777777777777778
2022,TCN,0.7222222222222222
2022,CNN-LSTM,0.7777777777777777
