Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
CatBoost,1,1,0.0,0.0,,0.9124166666666668
CatBoost,1,2,0.0,0.013333333333333334,0.9712665185292222,0.9124166666666668
CatBoost,1,3,0.0125,0.013333333333333334,0.9405639162418012,0.9124166666666668
CatBoost,1,4,0.0125,0.02666666666666667,0.9183227060629342,0.9124166666666668
CatBoost,1,5,0.01875,0.02666666666666667,0.9163314102890472,0.9124166666666668
CatBoost,1,6,0.01875,0.04,0.9158246956303048,0.9124166666666668
CatBoost,1,7,0.025,0.04,0.9152513760442532,0.9124166666666668
CatBoost,1,8,0.025,0.05333333333333334,0.9116834671777208,0.9124166666666668
CatBoost,1,9,0.03125,0.05333333333333334,0.9025255588577988,0.9124166666666668
CatBoost,1,10,0.03125,0.06666666666666667,0.9025212650823696,0.9124166666666668
CatBoost,1,11,0.0375,0.06666666666666667,0.9022964475571554,0.9124166666666668
CatBoost,1,12,0.0375,0.08,0.9009311879398516,0.9124166666666668
CatBoost,1,13,0.04375,0.08,0.8997083065383273,0.9124166666666668
CatBoost,1,14,0.04375,0.16,0.8740570526325881,0.9124166666666668
CatBoost,1,15,0.05,0.16,0.8733210721128409,0.9124166666666668
CatBoost,1,16,0.05,0.28,0.8537430470033691,0.9124166666666668
CatBoost,1,17,0.05625,0.28,0.8467836234263495,0.9124166666666668
CatBoost,1,18,0.05625,0.36,0.836282760507715,0.9124166666666668
CatBoost,1,19,0.0625,0.36,0.8282624486366809,0.9124166666666668
CatBoost,1,20,0.0625,0.52,0.7777006765003769,0.9124166666666668
CatBoost,1,21,0.06875,0.52,0.7776581982996592,0.9124166666666668
CatBoost,1,22,0.06875,0.56,0.754676939147844,0.9124166666666668
CatBoost,1,23,0.08125,0.56,0.7510627803413777,0.9124166666666668
CatBoost,1,24,0.08125,0.5733333333333334,0.7467635306213439,0.9124166666666668
CatBoost,1,25,0.09375,0.5733333333333334,0.7424481181025511,0.9124166666666668
CatBoost,1,26,0.09375,0.76,0.6934917105360584,0.9124166666666668
CatBoost,1,27,0.1,0.76,0.6817927970446769,0.9124166666666668
CatBoost,1,28,0.1,0.7866666666666666,0.6594547891862239,0.9124166666666668
CatBoost,1,29,0.125,0.7866666666666666,0.6350460348349608,0.9124166666666668
CatBoost,1,30,0.125,0.8,0.608125216777059,0.9124166666666668
CatBoost,1,31,0.13125,0.8,0.596923439121036,0.9124166666666668
CatBoost,1,32,0.13125,0.8666666666666667,0.5577663767165097,0.9124166666666668
CatBoost,1,33,0.1375,0.8666666666666667,0.5461825348427076,0.9124166666666668
CatBoost,1,34,0.1375,0.88,0.5431523339041868,0.9124166666666668
CatBoost,1,35,0.14375,0.88,0.529088587814453,0.9124166666666668
CatBoost,1,36,0.14375,0.8933333333333333,0.5256587679410493,0.9124166666666668
CatBoost,1,37,0.15625,0.8933333333333333,0.514200144409122,0.9124166666666668
CatBoost,1,38,0.15625,0.9066666666666666,0.5130048692356433,0.9124166666666668
CatBoost,1,39,0.1625,0.9066666666666666,0.4703891365827417,0.9124166666666668
CatBoost,1,40,0.1625,0.92,0.4387259379560664,0.9124166666666668
CatBoost,1,41,0.21875,0.92,0.2384209188999714,0.9124166666666668
CatBoost,1,42,0.21875,0.96,0.2208061733284604,0.9124166666666668
CatBoost,1,43,0.23125,0.96,0.1956182434656919,0.9124166666666668
CatBoost,1,44,0.23125,0.9733333333333334,0.188635988211217,0.9124166666666668
CatBoost,1,45,0.28125,0.9733333333333334,0.0914016276134361,0.9124166666666668
CatBoost,1,46,0.28125,0.9866666666666667,0.0907991407146018,0.9124166666666668
CatBoost,1,47,0.29375,0.9866666666666667,0.0778910339607916,0.9124166666666668
CatBoost,1,48,0.29375,1.0,0.0769723218846651,0.9124166666666668
CatBoost,1,49,1.0,1.0,0.0024698078288055,0.9124166666666668
CatBoost,2,1,0.0,0.0,,0.9432898908066221
CatBoost,2,2,0.0,0.014705882352941176,0.9890619685546532,0.9432898908066221
CatBoost,2,3,0.0,0.3382352941176471,0.9375062935770656,0.9432898908066221
CatBoost,2,4,0.005988023952095809,0.3382352941176471,0.9345926240656952,0.9432898908066221
CatBoost,2,5,0.005988023952095809,0.5,0.8991205597036989,0.9432898908066221
CatBoost,2,6,0.011976047904191617,0.5,0.8938571722451184,0.9432898908066221
CatBoost,2,7,0.011976047904191617,0.6029411764705882,0.8656488805775989,0.9432898908066221
CatBoost,2,8,0.017964071856287425,0.6029411764705882,0.8490610469824654,0.9432898908066221
CatBoost,2,9,0.017964071856287425,0.6176470588235294,0.8415512971623932,0.9432898908066221
CatBoost,2,10,0.023952095808383235,0.6176470588235294,0.8401955298819319,0.9432898908066221
CatBoost,2,11,0.023952095808383235,0.6470588235294118,0.8215743974403021,0.9432898908066221
CatBoost,2,12,0.029940119760479042,0.6470588235294118,0.8011787740713077,0.9432898908066221
CatBoost,2,13,0.029940119760479042,0.6764705882352942,0.7933162436459509,0.9432898908066221
CatBoost,2,14,0.041916167664670656,0.6764705882352942,0.7710885343148072,0.9432898908066221
CatBoost,2,15,0.041916167664670656,0.7058823529411765,0.7472223477223975,0.9432898908066221
CatBoost,2,16,0.05389221556886228,0.7058823529411765,0.6707955333045804,0.9432898908066221
CatBoost,2,17,0.05389221556886228,0.7205882352941176,0.6415683761644981,0.9432898908066221
CatBoost,2,18,0.059880239520958084,0.7205882352941176,0.6281380715507356,0.9432898908066221
CatBoost,2,19,0.059880239520958084,0.7352941176470589,0.5954935674958781,0.9432898908066221
