Model,State,Bin,Count,Probability_Minimum,Probability_Maximum,Mean_Predicted_Probability,Observed_Fraction,Absolute_Calibration_Gap
CatBoost,1,1,24,0.0024698078288055,0.0092131488718003,0.006271162546898905,0.0,0.006271162546898905
CatBoost,1,2,23,0.0093278103128086,0.0128800065758652,0.01092771543308781,0.0,0.01092771543308781
CatBoost,1,3,24,0.0129203563914073,0.0204907667218812,0.016452732936954085,0.0,0.016452732936954085
CatBoost,1,4,23,0.0208805069361641,0.0342304195715583,0.025991014808956648,0.0,0.025991014808956648
CatBoost,1,5,24,0.0358097596946839,0.0914016276134361,0.05705881206444411,0.08333333333333333,0.02627452126888922
CatBoost,1,6,23,0.0978711495822362,0.4387259379560664,0.23880465003146845,0.21739130434782608,0.021413345683642365
CatBoost,1,7,23,0.4703891365827417,0.6934917105360584,0.5880747398856687,0.5217391304347826,0.06633560945088612
CatBoost,1,8,24,0.6936253086817922,0.7868287402597236,0.7370514679417889,0.7916666666666666,0.054615198724877745
CatBoost,1,9,23,0.7879773593615492,0.8664606244579484,0.8324369460377659,0.9130434782608695,0.08060653222310366
CatBoost,1,10,24,0.8673830466240919,0.9712665185292222,0.901450664651165,0.6666666666666666,0.23478399798449834
CatBoost,2,1,24,0.0038888588302131,0.0103898117784437,0.007393190812407559,0.0,0.007393190812407559
CatBoost,2,2,23,0.0104304922826959,0.0163314798628195,0.013296097514546683,0.0,0.013296097514546683
CatBoost,2,3,24,0.0165325614717348,0.0291566821203943,0.022409152836469815,0.0,0.022409152836469815
CatBoost,2,4,23,0.0299692576751676,0.0538105984682374,0.040417471895675114,0.13043478260869565,0.09001731071302053
CatBoost,2,5,24,0.0606194111663849,0.1160925854392724,0.09179568344736151,0.0,0.09179568344736151
CatBoost,2,6,23,0.1187951127735213,0.2076704646314792,0.1566328787973882,0.13043478260869565,0.026198096188692538
CatBoost,2,7,23,0.2077859156315458,0.4529541770142291,0.30438980873673666,0.34782608695652173,0.043436278219785074
CatBoost,2,8,24,0.4565674803497305,0.8215743974403021,0.6367405759215726,0.4583333333333333,0.1784072425882393
CatBoost,2,9,23,0.8305365566737654,0.9271329829945276,0.8907659471170832,0.8695652173913043,0.02120072972577891
CatBoost,2,10,24,0.9345926240656952,0.9890619685546532,0.9625837603973837,0.9583333333333334,0.004250427064050322
CatBoost,3,1,24,0.0084682236165412,0.0498623414374113,0.02712554577115693,0.041666666666666664,0.014541120895509733
CatBoost,3,2,23,0.0524199126739646,0.0863456465399777,0.0696853711160657,0.21739130434782608,0.1477059332317604
CatBoost,3,3,24,0.0867303509331846,0.1226447330854245,0.10490294679243721,0.20833333333333334,0.10343038654089613
CatBoost,3,4,23,0.1227871295769706,0.1561747667637899,0.1398133933055893,0.21739130434782608,0.07757791104223677
CatBoost,3,5,24,0.156214320070481,0.2154106596917533,0.18578039120867482,0.16666666666666666,0.01911372454200816
CatBoost,3,6,23,0.2167913339175565,0.2751599439615556,0.24999887845804492,0.2608695652173913,0.010870686759346382
CatBoost,3,7,23,0.2887014737386881,0.426593400926191,0.3567053630416105,0.43478260869565216,0.07807724565404167
CatBoost,3,8,24,0.4283511662681188,0.7423307103330088,0.5794390286154247,0.625,0.045560971384575266
CatBoost,3,9,23,0.7490971985449745,0.8741960760158201,0.8223694860135787,0.9130434782608695,0.09067399224729078
CatBoost,3,10,24,0.8744388615859455,0.980028299055064,0.9124146952873127,0.8333333333333334,0.0790813619539793
Equal Soft Voting,1,1,24,0.001625837966372,0.0055823093407963,0.004422561299931638,0.0,0.004422561299931638
Equal Soft Voting,1,2,23,0.0057234623884949,0.0087685128119223,0.007303174934161283,0.0,0.007303174934161283
Equal Soft Voting,1,3,24,0.0087811261032622,0.0127312847747821,0.010561216999057968,0.0,0.010561216999057968
Equal Soft Voting,1,4,23,0.0138641111566756,0.0223204077443558,0.017862522901220926,0.0,0.017862522901220926
Equal Soft Voting,1,5,24,0.0224548290045825,0.0463880395724566,0.031210849667346913,0.041666666666666664,0.010455816999319752
Equal Soft Voting,1,6,23,0.0486611029858772,0.4916705118599335,0.20017563697996424,0.30434782608695654,0.1041721891069923
Equal Soft Voting,1,7,23,0.4916825914568972,0.6666682912442239,0.5696119033678869,0.5652173913043478,0.0043945120635391355
Equal Soft Voting,1,8,24,0.6684293294450746,0.791272817133526,0.7298582866048232,0.6666666666666666,0.06319161993815658
Equal Soft Voting,1,9,23,0.7975998156731715,0.8888477342383071,0.8548593767216304,0.8260869565217391,0.028772420199891235
Equal Soft Voting,1,10,24,0.8900336190506072,0.9685043593098394,0.926118130238763,0.7916666666666666,0.13445146357209636
Equal Soft Voting,2,1,24,0.0030232255173202,0.008054337797607,0.005517783969215662,0.0,0.005517783969215662
Equal Soft Voting,2,2,23,0.008997724895319,0.0127055833040223,0.01096359820082838,0.0,0.01096359820082838
Equal Soft Voting,2,3,24,0.012784590923393,0.0189133265864988,0.015493473865736934,0.0,0.015493473865736934
Equal Soft Voting,2,4,23,0.0190342877243835,0.0348938758897358,0.0263612046003904,0.13043478260869565,0.10407357800830525
Equal Soft Voting,2,5,24,0.0355482761905713,0.0681117209760112,0.05473772326730367,0.0,0.05473772326730367
Equal Soft Voting,2,6,23,0.0686869024502871,0.1535624174368852,0.09639022676431433,0.08695652173913043,0.009433705025183897
Equal Soft Voting,2,7,23,0.1621929876843763,0.4192434625820776,0.2711799292331791,0.34782608695652173,0.07664615772334266
Equal Soft Voting,2,8,24,0.4542244503486328,0.8539812657673215,0.6835200752231643,0.5,0.18352007522316427
Equal Soft Voting,2,9,23,0.8562208601568052,0.9481068036502406,0.9204131300039279,0.8260869565217391,0.09432617348218875
