Model,Level,State,AUROC,AUPRC,Binary_Brier_Score,Expected_Calibration_Error,Log_Loss,Multiclass_Brier_Score,Macro_AUROC,Macro_AUPRC
CatBoost,State,1,0.9124166666666668,0.7129268140009529,0.10468294025345441,0.05465042437397192,,,,
CatBoost,State,2,0.9432898908066221,0.8926563570300081,0.08496627351299066,0.05007469151611333,,,,
CatBoost,State,3,0.8166615992702949,0.7478986031959285,0.160845714596618,0.06635869894938211,,,,
CatBoost,Overall,All,,,,0.05702793827982245,0.584188268783317,0.35049492836306306,0.8907893855811947,0.7844939247422965
Equal Soft Voting,State,1,0.9212499999999999,0.755544705259831,0.10651206431292619,0.03868763886442131,,,,
Equal Soft Voting,State,2,0.9412645297640014,0.8868358785845426,0.08847211441647705,0.058182994330329675,,,,
Equal Soft Voting,State,3,0.8175737306172088,0.7512736277880847,0.16534787494835937,0.06596718410920455,,,,
Equal Soft Voting,Overall,All,,,,0.05427927243465184,0.59565704517305,0.3603320536777626,0.8933627534604035,0.7978847372108193
CNN-LSTM,State,1,0.9044166666666666,0.7182135816654969,0.10819252691235771,0.07819063300997553,,,,
CNN-LSTM,State,2,0.9314899612539627,0.8724739414762449,0.09587486442661339,0.0522418536592592,,,,
CNN-LSTM,State,3,0.7872453633323199,0.7418054827719484,0.1783487751481524,0.0827216457090083,,,,
CNN-LSTM,Overall,All,,,,0.07105137745941435,0.6433354769052682,0.3824161664871234,0.8743839970843164,0.7774976686378968
TCN,State,1,0.8915,0.7042099491536976,0.12802849834968,0.09998328614908975,,,,
TCN,State,2,0.9427615357520255,0.8861495685209757,0.08185550071248128,0.041248175616257196,,,,
TCN,State,3,0.7880814837336576,0.7603489973628749,0.17307654892439758,0.11468641636546387,,,,
TCN,Overall,All,,,,0.08530595937693693,0.6474261429552796,0.3829605479865589,0.874114339828561,0.7835695050125161
XGBoost,State,1,0.9001666666666667,0.7324117933528708,0.11590517799458089,0.0689980034434058,,,,
XGBoost,State,2,0.938622754491018,0.8685637808491783,0.0886763012183277,0.0530093970133903,,,,
XGBoost,State,3,0.7844329583460019,0.7332616306544817,0.17673038707444472,0.09530667294649052,,,,
XGBoost,Overall,All,,,,0.07243802446776221,0.6198153673637228,0.38131186628735325,0.8744074598345621,0.7780790682855102
HistGradientBoosting,State,1,0.913,0.7350419993789474,0.12365990107762617,0.09957529068378132,,,,
HistGradientBoosting,State,2,0.9262064107079957,0.8614297275803987,0.10880369039623333,0.08974058286694787,,,,
HistGradientBoosting,State,3,0.8072362420188507,0.7497308905068879,0.1913162493451257,0.14888979953365775,,,,
HistGradientBoosting,Overall,All,,,,0.11273522436146233,1.0105074246387902,0.42377984081898523,0.8821475509089488,0.7820675391554114
Seasonal Baseline,State,1,0.8760833333333333,0.6601852874732224,0.11275716546509582,0.09187620889748543,,,,
Seasonal Baseline,State,2,0.9366854526241635,0.8715721169092171,0.08103569544575348,0.07756286266924559,,,,
Seasonal Baseline,State,3,0.7623897841289146,0.7162684986579797,0.16706523650430807,0.1334622823984526,,,,
Seasonal Baseline,Overall,All,,,,0.10096711798839453,0.5945720556354153,0.3608580974151574,0.8583861900288038,0.7493419676801397
