Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,1,0.01,75,0,128,32,1.0,0.2,0.3694581280788177,0.5395683453237411,0.19999999999999996,0.8638297872340426
CatBoost,1,0.02,75,0,91,69,1.0,0.43125,0.45180722891566266,0.6224066390041494,0.4312499999999999,0.7063829787234043
CatBoost,1,0.03,75,0,68,92,1.0,0.575,0.5244755244755245,0.6880733944954128,0.575,0.6085106382978723
CatBoost,1,0.04,75,0,62,98,1.0,0.6125,0.5474452554744526,0.7075471698113208,0.6125,0.5829787234042553
CatBoost,1,0.05,75,0,58,102,1.0,0.6375,0.5639097744360902,0.7211538461538463,0.6375,0.5659574468085107
CatBoost,1,0.060000000000000005,75,0,50,110,1.0,0.6875,0.6,0.7499999999999999,0.6875,0.5319148936170213
CatBoost,1,0.06999999999999999,75,0,47,113,1.0,0.70625,0.6147540983606558,0.7614213197969544,0.70625,0.5191489361702127
CatBoost,1,0.08,74,1,45,115,0.9866666666666667,0.71875,0.6218487394957983,0.7628865979381443,0.7054166666666668,0.5063829787234042
CatBoost,1,0.09,74,1,45,115,0.9866666666666667,0.71875,0.6218487394957983,0.7628865979381443,0.7054166666666668,0.5063829787234042
CatBoost,1,0.09999999999999999,73,2,43,117,0.9733333333333334,0.73125,0.6293103448275862,0.7643979057591623,0.7045833333333333,0.49361702127659574
CatBoost,1,0.11,73,2,43,117,0.9733333333333334,0.73125,0.6293103448275862,0.7643979057591623,0.7045833333333333,0.49361702127659574
CatBoost,1,0.12,73,2,42,118,0.9733333333333334,0.7375,0.6347826086956522,0.7684210526315789,0.7108333333333334,0.48936170212765956
CatBoost,1,0.13,73,2,40,120,0.9733333333333334,0.75,0.6460176991150443,0.776595744680851,0.7233333333333334,0.4808510638297872
CatBoost,1,0.14,73,2,40,120,0.9733333333333334,0.75,0.6460176991150443,0.776595744680851,0.7233333333333334,0.4808510638297872
CatBoost,1,0.15000000000000002,73,2,39,121,0.9733333333333334,0.75625,0.6517857142857143,0.7807486631016043,0.7295833333333333,0.4765957446808511
CatBoost,1,0.16,73,2,39,121,0.9733333333333334,0.75625,0.6517857142857143,0.7807486631016043,0.7295833333333333,0.4765957446808511
CatBoost,1,0.17,73,2,38,122,0.9733333333333334,0.7625,0.6576576576576577,0.7849462365591398,0.7358333333333333,0.4723404255319149
CatBoost,1,0.18000000000000002,73,2,38,122,0.9733333333333334,0.7625,0.6576576576576577,0.7849462365591398,0.7358333333333333,0.4723404255319149
CatBoost,1,0.19,72,3,37,123,0.96,0.76875,0.6605504587155964,0.782608695652174,0.72875,0.46382978723404256
CatBoost,1,0.2,72,3,36,124,0.96,0.775,0.6666666666666666,0.7868852459016393,0.7349999999999999,0.4595744680851064
CatBoost,1,0.21000000000000002,72,3,35,125,0.96,0.78125,0.6728971962616822,0.7912087912087912,0.74125,0.4553191489361702
CatBoost,1,0.22,72,3,35,125,0.96,0.78125,0.6728971962616822,0.7912087912087912,0.74125,0.4553191489361702
CatBoost,1,0.23,71,4,35,125,0.9466666666666667,0.78125,0.6698113207547169,0.7845303867403315,0.7279166666666668,0.451063829787234
CatBoost,1,0.24000000000000002,69,6,33,127,0.92,0.79375,0.6764705882352942,0.7796610169491526,0.7137500000000001,0.4340425531914894
CatBoost,1,0.25,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.26,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.27,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.28,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.29000000000000004,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.3,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.31,69,6,31,129,0.92,0.80625,0.69,0.7885714285714287,0.7262500000000001,0.425531914893617
CatBoost,1,0.32,69,6,30,130,0.92,0.8125,0.696969696969697,0.793103448275862,0.7324999999999999,0.42127659574468085
CatBoost,1,0.33,69,6,30,130,0.92,0.8125,0.696969696969697,0.793103448275862,0.7324999999999999,0.42127659574468085
CatBoost,1,0.34,69,6,30,130,0.92,0.8125,0.696969696969697,0.793103448275862,0.7324999999999999,0.42127659574468085
CatBoost,1,0.35000000000000003,69,6,29,131,0.92,0.81875,0.7040816326530612,0.7976878612716762,0.73875,0.41702127659574467
CatBoost,1,0.36000000000000004,69,6,29,131,0.92,0.81875,0.7040816326530612,0.7976878612716762,0.73875,0.41702127659574467
CatBoost,1,0.37,69,6,29,131,0.92,0.81875,0.7040816326530612,0.7976878612716762,0.73875,0.41702127659574467
CatBoost,1,0.38,69,6,28,132,0.92,0.825,0.711340206185567,0.8023255813953489,0.7450000000000001,0.4127659574468085
CatBoost,1,0.39,69,6,27,133,0.92,0.83125,0.71875,0.8070175438596492,0.7512500000000002,0.4085106382978723
CatBoost,1,0.4,69,6,27,133,0.92,0.83125,0.71875,0.8070175438596492,0.7512500000000002,0.4085106382978723
CatBoost,1,0.41000000000000003,69,6,27,133,0.92,0.83125,0.71875,0.8070175438596492,0.7512500000000002,0.4085106382978723
CatBoost,1,0.42000000000000004,69,6,27,133,0.92,0.83125,0.71875,0.8070175438596492,0.7512500000000002,0.4085106382978723
CatBoost,1,0.43,69,6,26,134,0.92,0.8375,0.7263157894736842,0.811764705882353,0.7575000000000001,0.40425531914893614
CatBoost,1,0.44,68,7,26,134,0.9066666666666666,0.8375,0.723404255319149,0.8047337278106509,0.7441666666666666,0.4
CatBoost,1,0.45,68,7,26,134,0.9066666666666666,0.8375,0.723404255319149,0.8047337278106509,0.7441666666666666,0.4
CatBoost,1,0.46,68,7,26,134,0.9066666666666666,0.8375,0.723404255319149,0.8047337278106509,0.7441666666666666,0.4
CatBoost,1,0.47000000000000003,68,7,26,134,0.9066666666666666,0.8375,0.723404255319149,0.8047337278106509,0.7441666666666666,0.4
CatBoost,1,0.48000000000000004,68,7,25,135,0.9066666666666666,0.84375,0.7311827956989247,0.8095238095238095,0.7504166666666667,0.39574468085106385
CatBoost,1,0.49,68,7,25,135,0.9066666666666666,0.84375,0.7311827956989247,0.8095238095238095,0.7504166666666667,0.39574468085106385
CatBoost,1,0.5,68,7,25,135,0.9066666666666666,0.84375,0.7311827956989247,0.8095238095238095,0.7504166666666667,0.39574468085106385
CatBoost,1,0.51,68,7,25,135,0.9066666666666666,0.84375,0.7311827956989247,0.8095238095238095,0.7504166666666667,0.39574468085106385
CatBoost,1,0.52,67,8,24,136,0.8933333333333333,0.85,0.7362637362637363,0.8072289156626506,0.7433333333333332,0.3872340425531915
CatBoost,1,0.53,66,9,22,138,0.88,0.8625,0.75,0.8098159509202455,0.7425000000000002,0.37446808510638296
CatBoost,1,0.54,66,9,22,138,0.88,0.8625,0.75,0.8098159509202455,0.7425000000000002,0.37446808510638296
CatBoost,1,0.55,65,10,21,139,0.8666666666666667,0.86875,0.7558139534883721,0.8074534161490684,0.7354166666666666,0.3659574468085106
CatBoost,1,0.56,64,11,21,139,0.8533333333333334,0.86875,0.7529411764705882,0.7999999999999999,0.7220833333333334,0.3617021276595745
CatBoost,1,0.5700000000000001,63,12,21,139,0.84,0.86875,0.75,0.7924528301886793,0.70875,0.3574468085106383
CatBoost,1,0.5800000000000001,62,13,21,139,0.8266666666666667,0.86875,0.7469879518072289,0.7848101265822784,0.6954166666666666,0.35319148936170214
CatBoost,1,0.59,61,14,21,139,0.8133333333333334,0.86875,0.7439024390243902,0.7770700636942677,0.6820833333333334,0.34893617021276596
CatBoost,1,0.6,60,15,20,140,0.8,0.875,0.75,0.7741935483870969,0.675,0.3404255319148936
CatBoost,1,0.61,59,16,20,140,0.7866666666666666,0.875,0.7468354430379747,0.7662337662337663,0.6616666666666666,0.33617021276595743
CatBoost,1,0.62,59,16,20,140,0.7866666666666666,0.875,0.7468354430379747,0.7662337662337663,0.6616666666666666,0.33617021276595743
CatBoost,1,0.63,59,16,20,140,0.7866666666666666,0.875,0.7468354430379747,0.7662337662337663,0.6616666666666666,0.33617021276595743
CatBoost,1,0.64,59,16,19,141,0.7866666666666666,0.88125,0.7564102564102564,0.7712418300653594,0.6679166666666667,0.33191489361702126
CatBoost,1,0.65,59,16,17,143,0.7866666666666666,0.89375,0.7763157894736842,0.7814569536423841,0.6804166666666667,0.32340425531914896
CatBoost,1,0.66,58,17,16,144,0.7733333333333333,0.9,0.7837837837837838,0.7785234899328859,0.6733333333333333,0.3148936170212766
CatBoost,1,0.67,58,17,16,144,0.7733333333333333,0.9,0.7837837837837838,0.7785234899328859,0.6733333333333333,0.3148936170212766
CatBoost,1,0.68,57,18,16,144,0.76,0.9,0.7808219178082192,0.7702702702702703,0.6600000000000001,0.31063829787234043
CatBoost,1,0.6900000000000001,57,18,15,145,0.76,0.90625,0.7916666666666666,0.7755102040816326,0.66625,0.30638297872340425
CatBoost,1,0.7000000000000001,54,21,15,145,0.72,0.90625,0.782608695652174,0.7499999999999999,0.62625,0.2936170212765957
CatBoost,1,0.7100000000000001,53,22,15,145,0.7066666666666667,0.90625,0.7794117647058824,0.7412587412587412,0.6129166666666666,0.28936170212765955
CatBoost,1,0.72,49,26,15,145,0.6533333333333333,0.90625,0.765625,0.7050359712230216,0.5595833333333333,0.2723404255319149
CatBoost,1,0.73,46,29,15,145,0.6133333333333333,0.90625,0.7540983606557377,0.676470588235294,0.5195833333333333,0.25957446808510637
CatBoost,1,0.74,45,30,15,145,0.6,0.90625,0.75,0.6666666666666665,0.5062500000000001,0.2553191489361702
CatBoost,1,0.75,42,33,13,147,0.56,0.91875,0.7636363636363637,0.6461538461538462,0.47875,0.23404255319148937
CatBoost,1,0.76,39,36,11,149,0.52,0.93125,0.78,0.624,0.45124999999999993,0.2127659574468085
CatBoost,1,0.77,39,36,11,149,0.52,0.93125,0.78,0.624,0.45124999999999993,0.2127659574468085
CatBoost,1,0.78,38,37,10,150,0.5066666666666667,0.9375,0.7916666666666666,0.6178861788617886,0.4441666666666668,0.20425531914893616
CatBoost,1,0.79,36,39,10,150,0.48,0.9375,0.782608695652174,0.5950413223140497,0.4175,0.19574468085106383
CatBoost,1,0.8,35,40,10,150,0.4666666666666667,0.9375,0.7777777777777778,0.5833333333333334,0.4041666666666668,0.19148936170212766
CatBoost,1,0.81,34,41,10,150,0.4533333333333333,0.9375,0.7727272727272727,0.5714285714285714,0.39083333333333337,0.18723404255319148
