Months,Year,Month_Number,Model,True_State,Predicted_State,Correct,Maximum_Probability
2003-06-01,2003,6,CatBoost,2,2,True,0.9513904621454736
2003-07-01,2003,7,CatBoost,2,2,True,0.9540406509253612
2003-08-01,2003,8,CatBoost,3,2,False,0.9345926240656952
2003-09-01,2003,9,CatBoost,3,3,True,0.8483296442624478
2003-10-01,2003,10,CatBoost,3,3,True,0.8744388615859455
2003-11-01,2003,11,CatBoost,3,3,True,0.8530520201726921
2003-12-01,2003,12,CatBoost,3,1,False,0.6350460348349608
2004-01-01,2004,1,CatBoost,1,1,True,0.7987149030929911
2004-02-01,2004,2,CatBoost,1,1,True,0.8792097776223178
2004-03-01,2004,3,CatBoost,1,1,True,0.8704120364249941
2004-04-01,2004,4,CatBoost,1,1,True,0.8980848804860501
2004-05-01,2004,5,CatBoost,1,2,False,0.7885064261574382
2004-06-01,2004,6,CatBoost,2,2,True,0.921372752160467
2004-07-01,2004,7,CatBoost,2,2,True,0.9550458581215904
2004-08-01,2004,8,CatBoost,3,2,False,0.5866473491043069
2004-09-01,2004,9,CatBoost,3,3,True,0.9153535458387948
2004-10-01,2004,10,CatBoost,3,3,True,0.9075170978053816
2004-11-01,2004,11,CatBoost,3,3,True,0.819083143980134
2004-12-01,2004,12,CatBoost,3,1,False,0.514200144409122
2005-01-01,2005,1,CatBoost,1,1,True,0.8178027353806493
2005-02-01,2005,2,CatBoost,1,1,True,0.836282760507715
2005-03-01,2005,3,CatBoost,1,1,True,0.7868287402597236
2005-04-01,2005,4,CatBoost,1,1,True,0.8557387266980133
2005-05-01,2005,5,CatBoost,2,1,False,0.4215357452338252
2005-06-01,2005,6,CatBoost,2,2,True,0.8991205597036989
2005-07-01,2005,7,CatBoost,2,2,True,0.9375062935770656
2005-08-01,2005,8,CatBoost,3,3,True,0.5163900495579432
2005-09-01,2005,9,CatBoost,3,3,True,0.8741153616413887
2005-10-01,2005,10,CatBoost,3,3,True,0.9022404129777551
2005-11-01,2005,11,CatBoost,3,3,True,0.8236467831079517
2005-12-01,2005,12,CatBoost,1,1,True,0.731985795142993
2006-01-01,2006,1,CatBoost,1,1,True,0.8461132911060772
2006-02-01,2006,2,CatBoost,1,1,True,0.8573703706016168
2006-03-01,2006,3,CatBoost,1,1,True,0.8434667368479716
2006-04-01,2006,4,CatBoost,1,1,True,0.8598626877827392
2006-05-01,2006,5,CatBoost,1,1,True,0.5577663767165097
2006-06-01,2006,6,CatBoost,2,2,True,0.8873176965545889
2006-07-01,2006,7,CatBoost,2,2,True,0.9088005275974118
2006-08-01,2006,8,CatBoost,2,2,True,0.9497822794848356
2006-09-01,2006,9,CatBoost,3,3,True,0.8604880410674107
2006-10-01,2006,10,CatBoost,3,3,True,0.9090601874799944
2006-11-01,2006,11,CatBoost,3,3,True,0.788703770036483
2006-12-01,2006,12,CatBoost,3,1,False,0.6817927970446769
2007-01-01,2007,1,CatBoost,1,1,True,0.9009311879398516
2007-02-01,2007,2,CatBoost,1,1,True,0.9158246956303048
2007-03-01,2007,3,CatBoost,1,1,True,0.6934917105360584
2007-04-01,2007,4,CatBoost,1,1,True,0.8987496073354624
2007-05-01,2007,5,CatBoost,2,2,True,0.4826255913169249
2007-06-01,2007,6,CatBoost,2,2,True,0.9730924900166884
2007-07-01,2007,7,CatBoost,2,2,True,0.980219771857524
2007-08-01,2007,8,CatBoost,2,2,True,0.8737443007892666
2007-09-01,2007,9,CatBoost,3,3,True,0.8264086522336399
2007-10-01,2007,10,CatBoost,3,3,True,0.8678067139163532
2007-11-01,2007,11,CatBoost,3,3,True,0.6945653114153788
2007-12-01,2007,12,CatBoost,1,1,True,0.7249828206508829
2008-01-01,2008,1,CatBoost,3,1,False,0.8997083065383273
2008-02-01,2008,2,CatBoost,1,1,True,0.8866216019175466
2008-03-01,2008,3,CatBoost,1,1,True,0.8704158284224447
2008-04-01,2008,4,CatBoost,1,1,True,0.8235132307461056
2008-05-01,2008,5,CatBoost,2,2,True,0.5954935674958781
2008-06-01,2008,6,CatBoost,2,2,True,0.8821279604361341
2008-07-01,2008,7,CatBoost,2,2,True,0.9689924906976056
2008-08-01,2008,8,CatBoost,3,2,False,0.8401955298819319
2008-09-01,2008,9,CatBoost,3,3,True,0.8879095461378969
2008-10-01,2008,10,CatBoost,3,3,True,0.9124554463407476
2008-11-01,2008,11,CatBoost,3,3,True,0.7490971985449745
2008-12-01,2008,12,CatBoost,1,1,True,0.5779105199247727
2009-01-01,2009,1,CatBoost,1,1,True,0.9712665185292222
2009-02-01,2009,2,CatBoost,1,1,True,0.8151097926311165
2009-03-01,2009,3,CatBoost,1,1,True,0.9116834671777208
2009-04-01,2009,4,CatBoost,1,1,True,0.8970640413148468
2009-05-01,2009,5,CatBoost,2,2,True,0.5635276800858827
2009-06-01,2009,6,CatBoost,2,2,True,0.9734123633247646
2009-07-01,2009,7,CatBoost,2,2,True,0.9890619685546532
2009-08-01,2009,8,CatBoost,2,2,True,0.8718432956140924
2009-09-01,2009,9,CatBoost,3,3,True,0.950737634737327
2009-10-01,2009,10,CatBoost,3,3,True,0.980028299055064
2009-11-01,2009,11,CatBoost,3,3,True,0.9618141028162108
2009-12-01,2009,12,CatBoost,1,3,False,0.9031074779869996
2010-01-01,2010,1,CatBoost,1,1,True,0.7268196816954761
