Model,Metric,Bootstrap_Mean,Bootstrap_SD,CI_2_5,CI_97_5,Original_Estimate
CNN-LSTM,Accuracy,0.7498664236777483,0.026354135522055167,0.6958333333333333,0.8,0.7489361702127659
CNN-LSTM,Balanced_Accuracy,0.7608879633106334,0.024129417383816316,0.7121142812428254,0.8078649128649129,0.7596589940323956
CNN-LSTM,Log_Loss,0.6415586315088236,0.05007239143629326,0.5512759243596195,0.746971796686555,0.6433354769052682
CNN-LSTM,MCC,0.6299644912068615,0.038106728323819804,0.5531958150902391,0.7046486615290524,0.6281770376862401
CNN-LSTM,Macro_AUPRC,0.7848197498249375,0.02698002647264299,0.7311308702254409,0.8368268146683028,0.7774976686378968
CNN-LSTM,Macro_AUROC,0.876216898865354,0.016263661794136745,0.8434653914533874,0.9071668855472446,0.8743839970843164
CNN-LSTM,Macro_F1,0.7512645051791587,0.02590637632134026,0.6994169874774844,0.8021001854308324,0.7508218856404838
CNN-LSTM,Macro_Specificity,0.8745412978462522,0.013066239872980919,0.8479245268711173,0.8996976833612472,0.8739351716148124
CNN-LSTM,Multiclass_Brier_Score,0.38115673569928915,0.033540782714850434,0.3188322077565665,0.45286823785238367,0.3824161664871234
CatBoost,Accuracy,0.7534161965634987,0.03439167881942439,0.6851063829787234,0.8212881591119333,0.7531914893617021
CatBoost,Balanced_Accuracy,0.7694033684980767,0.03030233680051445,0.7088391045895854,0.8300156358652512,0.7687610116510372
CatBoost,Log_Loss,0.5837194978222822,0.057116825094992746,0.47426606249560005,0.7010818553754494,0.584188268783317
CatBoost,MCC,0.641568537352562,0.04927692944426965,0.5432943978369598,0.7410752114243304,0.6406508923664249
CatBoost,Macro_AUPRC,0.7913547884785009,0.03845251402175638,0.7128737806587188,0.8635744938527389,0.7844939247422965
CatBoost,Macro_AUROC,0.8915250140644487,0.020121123567742375,0.8496724760507872,0.9296102473313883,0.8907893855811947
CatBoost,Macro_F1,0.753795158748492,0.033227736367608424,0.689076919975946,0.8223881884546819,0.7539961013645224
CatBoost,Macro_Specificity,0.8775720526364084,0.01676976787504303,0.8442571350846791,0.9113153571748803,0.877096506288123
CatBoost,Multiclass_Brier_Score,0.3501919225029593,0.038432398420854344,0.2753967164128496,0.4277863854012067,0.35049492836306306
Equal Soft Voting,Accuracy,0.7487952035410687,0.031891676282742656,0.6869565217391305,0.8127728954671599,0.7489361702127659
Equal Soft Voting,Balanced_Accuracy,0.7621979670809973,0.029096915203812704,0.704124912785627,0.8200997872595026,0.7617590224495595
Equal Soft Voting,Log_Loss,0.5947073087816949,0.0666585884120804,0.4676427803500263,0.737647489218427,0.59565704517305
Equal Soft Voting,MCC,0.6323471439665047,0.04648928099037209,0.5394433486155582,0.7290354769791585,0.6314939376131323
Equal Soft Voting,Macro_AUPRC,0.8050527318020306,0.04463555194950771,0.7151209273938558,0.8878357730185895,0.7978847372108193
Equal Soft Voting,Macro_AUROC,0.893873185140049,0.02161099324198623,0.8486669593705062,0.9345651374415259,0.8933627534604035
Equal Soft Voting,Macro_F1,0.7502898690902632,0.030709323933112213,0.6900541085814629,0.8148880580618058,0.7508633346066156
Equal Soft Voting,Macro_Specificity,0.8747430130675005,0.015659063279620463,0.8436348782762673,0.9069076596998354,0.8743431842608489
Equal Soft Voting,Multiclass_Brier_Score,0.35965331283313895,0.041821892769069995,0.2768102533143767,0.4460761348532142,0.3603320536777626
HistGradientBoosting,Accuracy,0.7327074269172605,0.0355141860576194,0.6595744680851063,0.8001041666666662,0.7319148936170212
HistGradientBoosting,Balanced_Accuracy,0.7394512672713712,0.036509117916306365,0.6628217890546051,0.8070973168655815,0.7385961921000285
HistGradientBoosting,Log_Loss,1.009042561975885,0.19014625014728634,0.6806301192080219,1.4410851399772058,1.0105074246387902
HistGradientBoosting,MCC,0.5979389151903727,0.054298191158945616,0.4859469289243179,0.7015120843297529,0.5958789890107972
HistGradientBoosting,Macro_AUPRC,0.7895361478886028,0.041259490103076224,0.707481882235176,0.8706575667273826,0.7820675391554114
