Rank,Feature,Mean_Absolute_SHAP,Relative_Importance_Percent
1,MLD,0.5779514891991802,20.667765182450847
2,SST,0.455943912561739,16.304727814182247
3,SSS,0.2841736983602802,10.162159590378335
4,PAR,0.2702188124092752,9.663127558498136
5,SPCo2,0.19186240181363767,6.86107249852367
6,NINO_3.4,0.1860887449210204,6.654604330985947
7,SSH,0.17487530267774967,6.253607369299734
8,NO3,0.16589332923367212,5.932408581016609
9,PDO,0.13174691189052407,4.711319703041705
10,MHW_CumInt,0.12924874432004263,4.621984280090091
11,PO4,0.09428945245560219,3.371826699909495
12,MHW_MaxInt,0.0460544890811101,1.6469260547196118
13,WPI,0.0453485533960597,1.6216815259915165
14,MHW_MeanInt,0.04269498221842229,1.5267888109120524
