Ecological_State,State_Name,Feature,Mean_Absolute_SHAP,State_Rank
1,Diatom-associated early-year state,SST,1.0563353599779957,1
1,Diatom-associated early-year state,SSS,0.5967192469348309,2
1,Diatom-associated early-year state,MLD,0.45715371528613213,3
1,Diatom-associated early-year state,SSH,0.36427706565364226,4
1,Diatom-associated early-year state,NINO_3.4,0.27184047982509774,5
1,Diatom-associated early-year state,SPCo2,0.2680889851949951,6
1,Diatom-associated early-year state,NO3,0.2627010567318967,7
1,Diatom-associated early-year state,PAR,0.2546330969050853,8
1,Diatom-associated early-year state,PDO,0.24662715646527644,9
1,Diatom-associated early-year state,MHW_CumInt,0.1699939209406259,10
1,Diatom-associated early-year state,PO4,0.11894395330540901,11
1,Diatom-associated early-year state,WPI,0.06849418990379888,12
1,Diatom-associated early-year state,MHW_MaxInt,0.06107627856750304,13
1,Diatom-associated early-year state,MHW_MeanInt,0.05471698151074804,14
2,Mixed-prokaryote mid-year state,MLD,1.2721851171701006,1
2,Mixed-prokaryote mid-year state,PAR,0.5543134373847755,2
2,Mixed-prokaryote mid-year state,SPCo2,0.30440231227772613,3
2,Mixed-prokaryote mid-year state,SST,0.30126185045309484,4
2,Mixed-prokaryote mid-year state,NINO_3.4,0.28388887320254,5
2,Mixed-prokaryote mid-year state,SSS,0.25134268558116873,6
2,Mixed-prokaryote mid-year state,NO3,0.2310850816077467,7
2,Mixed-prokaryote mid-year state,MHW_CumInt,0.21678862716568154,8
2,Mixed-prokaryote mid-year state,PO4,0.16102618239344324,9
2,Mixed-prokaryote mid-year state,SSH,0.15833594443834004,10
2,Mixed-prokaryote mid-year state,PDO,0.14698946207904612,11
2,Mixed-prokaryote mid-year state,MHW_MaxInt,0.07595031868670758,12
2,Mixed-prokaryote mid-year state,MHW_MeanInt,0.07236068413353136,13
2,Mixed-prokaryote mid-year state,WPI,0.06686724697712121,14
3,Prokaryote-dominated late-year state,SST,0.010234527254127386,1
3,Prokaryote-dominated late-year state,MLD,0.0045156351413051295,2
3,Prokaryote-dominated late-year state,SSS,0.004459162564840011,3
3,Prokaryote-dominated late-year state,NO3,0.0038938493613727937,4
3,Prokaryote-dominated late-year state,SPCo2,0.003095907968191993,5
3,Prokaryote-dominated late-year state,PO4,0.0028982216679539832,6
3,Prokaryote-dominated late-year state,NINO_3.4,0.0025368817354238533,7
3,Prokaryote-dominated late-year state,SSH,0.0020128979412662464,8
3,Prokaryote-dominated late-year state,PAR,0.0017099029379653565,9
3,Prokaryote-dominated late-year state,PDO,0.0016241171272496355,10
3,Prokaryote-dominated late-year state,MHW_MaxInt,0.0011368699891198227,11
3,Prokaryote-dominated late-year state,MHW_MeanInt,0.001007281010987532,12
3,Prokaryote-dominated late-year state,MHW_CumInt,0.0009636848538205202,13
3,Prokaryote-dominated late-year state,WPI,0.0006842233072588234,14
