Ecological_State,State_Name,Feature,Spearman_Rho_Feature_vs_SHAP,Spearman_P_Value,Higher_Value_Association
1,Diatom-associated early-year state,SST,-0.7358304831681104,3.55066551880638e-42,Opposes state
1,Diatom-associated early-year state,NO3,-0.6713172103682354,8.405335533331075e-33,Opposes state
1,Diatom-associated early-year state,PO4,0.4161895171791177,1.8007538737207407e-11,Supports state
1,Diatom-associated early-year state,SPCo2,-0.6540130905050434,1.120611410710775e-30,Opposes state
1,Diatom-associated early-year state,MLD,-0.41038299276029094,3.6343500274181026e-11,Opposes state
1,Diatom-associated early-year state,SSS,0.8265168781216068,2.5115254462224508e-61,Supports state
1,Diatom-associated early-year state,SSH,-0.900933175923193,2.955287689939241e-88,Opposes state
1,Diatom-associated early-year state,PAR,0.1536458966301498,0.017218618948850413,Supports state
1,Diatom-associated early-year state,PDO,0.6538331743937862,1.1771123560937709e-30,Supports state
1,Diatom-associated early-year state,NINO_3.4,-0.6233221872490184,3.1208774416898715e-27,Opposes state
1,Diatom-associated early-year state,WPI,-0.04424147672077869,0.4951492914286493,Opposes state
1,Diatom-associated early-year state,MHW_MeanInt,0.5132375538873146,1.5762751749541518e-17,Supports state
1,Diatom-associated early-year state,MHW_MaxInt,0.2910838145003772,4.527005631914057e-06,Supports state
1,Diatom-associated early-year state,MHW_CumInt,0.5295264553208516,9.522535793197889e-19,Supports state
2,Mixed-prokaryote mid-year state,SST,0.6919989930380734,1.5433286093413533e-35,Supports state
2,Mixed-prokaryote mid-year state,NO3,0.8606182398999981,1.0653112777038593e-71,Supports state
2,Mixed-prokaryote mid-year state,PO4,-0.399896699595479,1.2488996465364678e-10,Opposes state
2,Mixed-prokaryote mid-year state,SPCo2,0.6364372645358425,1.1743269697073584e-28,Supports state
2,Mixed-prokaryote mid-year state,MLD,-0.47274865883088235,9.1180491544886e-15,Opposes state
2,Mixed-prokaryote mid-year state,SSS,-0.7870244218756369,7.778165791129463e-52,Opposes state
2,Mixed-prokaryote mid-year state,SSH,-0.539786281011823,1.5019611354108675e-19,Opposes state
2,Mixed-prokaryote mid-year state,PAR,0.6298373235646452,6.239449249700715e-28,Supports state
2,Mixed-prokaryote mid-year state,PDO,0.5441713567655937,6.689821378544966e-20,Supports state
2,Mixed-prokaryote mid-year state,NINO_3.4,-0.6278875054169628,1.0141784213293783e-27,Opposes state
2,Mixed-prokaryote mid-year state,WPI,-0.1945658798010366,0.0024662676963570266,Opposes state
2,Mixed-prokaryote mid-year state,MHW_MeanInt,0.5881479232863884,1.0013471098375967e-23,Supports state
2,Mixed-prokaryote mid-year state,MHW_MaxInt,0.4418716091606523,6.829018713723288e-13,Supports state
2,Mixed-prokaryote mid-year state,MHW_CumInt,0.69050653263574,2.4751206746692587e-35,Supports state
3,Prokaryote-dominated late-year state,SST,-0.11381100366325801,0.07846390863407722,Opposes state
3,Prokaryote-dominated late-year state,NO3,0.4308902932342575,2.862200210846886e-12,Supports state
3,Prokaryote-dominated late-year state,PO4,0.4897298564211184,7.009608122948897e-16,Supports state
3,Prokaryote-dominated late-year state,SPCo2,-0.2931474504765707,3.844766845359635e-06,Opposes state
3,Prokaryote-dominated late-year state,MLD,0.8075062067049773,1.7505562376488122e-56,Supports state
3,Prokaryote-dominated late-year state,SSS,-0.7237550668220037,3.210622784969168e-40,Opposes state
3,Prokaryote-dominated late-year state,SSH,-0.19209882116008953,0.0028050998074768308,Opposes state
3,Prokaryote-dominated late-year state,PAR,0.3970719977777391,1.7288849937788126e-10,Supports state
3,Prokaryote-dominated late-year state,PDO,-0.07094822541553877,0.2736187369566505,Opposes state
3,Prokaryote-dominated late-year state,NINO_3.4,0.4076011377308639,5.0637383084414415e-11,Supports state
3,Prokaryote-dominated late-year state,WPI,0.06784989436243703,0.29517101799853546,Supports state
3,Prokaryote-dominated late-year state,MHW_MeanInt,-0.13750510009437497,0.03323585368240089,Opposes state
3,Prokaryote-dominated late-year state,MHW_MaxInt,0.366107036019807,5.0253640787693365e-09,Supports state
3,Prokaryote-dominated late-year state,MHW_CumInt,-0.11223143369403384,0.08272480216064075,Opposes state
