Ecological_State,State_Name,Feature,Mean_Signed_SHAP_in_Observed_State,Median_Signed_SHAP_in_Observed_State,Mean_Absolute_SHAP_in_Observed_State
1,Diatom-associated early-year state,SST,1.256951843531447,1.2404379446927274,1.256951843531447
1,Diatom-associated early-year state,NO3,0.3149073243878013,0.3379959553313003,0.31620856124873614
1,Diatom-associated early-year state,PO4,0.16625653244599242,0.15079110884813446,0.16625653244599242
1,Diatom-associated early-year state,SPCo2,0.4378429348786749,0.25264870427049774,0.44011431837849535
1,Diatom-associated early-year state,MLD,-0.012759027672703286,-0.04378867321968468,0.13441434461951254
1,Diatom-associated early-year state,SSS,0.7577521749126189,0.8015836906518471,0.7626430907795021
1,Diatom-associated early-year state,SSH,0.352984869398403,0.34769348037822156,0.42165701096038183
1,Diatom-associated early-year state,PAR,0.17375105353004758,0.15650717625725688,0.20696570563040964
1,Diatom-associated early-year state,PDO,0.18440912463971576,0.23731422555512674,0.2870265853267736
1,Diatom-associated early-year state,NINO_3.4,0.24248037807773937,0.10484712345166675,0.34766823879102815
1,Diatom-associated early-year state,WPI,0.05529592972056597,0.06337500954387955,0.08855578452694439
1,Diatom-associated early-year state,MHW_MeanInt,0.03491687191102914,0.02341599386819565,0.049244179247761
1,Diatom-associated early-year state,MHW_MaxInt,0.046501405837845344,0.05807013244113933,0.06801053187441382
1,Diatom-associated early-year state,MHW_CumInt,0.11000348519347106,0.08162046705566038,0.16315121657625614
2,Mixed-prokaryote mid-year state,SST,0.35411810845255437,0.3765120564961383,0.36483362737764785
2,Mixed-prokaryote mid-year state,NO3,0.2644226677663324,0.2833133277368107,0.26492746186805455
2,Mixed-prokaryote mid-year state,PO4,0.1939889631327606,0.20709350193386647,0.22995013795878727
2,Mixed-prokaryote mid-year state,SPCo2,0.38888378806322355,0.4188598074714407,0.3908606731414767
2,Mixed-prokaryote mid-year state,MLD,1.553415642702225,2.027841405174658,1.8587691888447924
2,Mixed-prokaryote mid-year state,SSS,0.32284923532328785,0.33005917093208764,0.3249668402822059
2,Mixed-prokaryote mid-year state,SSH,0.06199719663353411,0.01507054225435875,0.1387929636395013
2,Mixed-prokaryote mid-year state,PAR,0.7061596582639929,0.9445640345028521,0.7938736891570125
2,Mixed-prokaryote mid-year state,PDO,0.08602521299096832,0.1105701096116133,0.13693281652761413
2,Mixed-prokaryote mid-year state,NINO_3.4,0.20328055304060708,0.10436955532103714,0.23777777833046304
2,Mixed-prokaryote mid-year state,WPI,0.062090516043091466,0.07165095928807179,0.08505259492642063
2,Mixed-prokaryote mid-year state,MHW_MeanInt,0.06393456983628623,0.06484336981857491,0.08072385471744255
2,Mixed-prokaryote mid-year state,MHW_MaxInt,0.06978434590148631,0.060169475420933066,0.08257290328518785
2,Mixed-prokaryote mid-year state,MHW_CumInt,0.1364964685947715,0.18052364549839625,0.23980185910522597
3,Prokaryote-dominated late-year state,SST,-0.011188651723333047,-0.011395030110440563,0.011188651723333047
3,Prokaryote-dominated late-year state,NO3,0.003115967891161975,0.0038945302505064136,0.004720999829502075
3,Prokaryote-dominated late-year state,PO4,0.0008271728522102752,0.0020518604429099726,0.0031670793342308233
3,Prokaryote-dominated late-year state,SPCo2,-0.0003656786330167569,0.00010509401642501862,0.0017453161204012027
3,Prokaryote-dominated late-year state,MLD,0.0013282148574111034,0.0014578184791608955,0.002375806857296044
3,Prokaryote-dominated late-year state,SSS,0.003975213319359861,0.0035034513501104496,0.003992857143604232
3,Prokaryote-dominated late-year state,SSH,0.0004377539103288108,0.0014387345942458501,0.0023026888994090275
3,Prokaryote-dominated late-year state,PAR,0.00041455572172994766,0.00034545165994465197,0.0017346400696501723
3,Prokaryote-dominated late-year state,PDO,-2.7546333275218573e-05,0.0008339584480927285,0.00214509039026059
3,Prokaryote-dominated late-year state,NINO_3.4,-0.000261962804042043,0.0008974346004669892,0.003133821215818226
3,Prokaryote-dominated late-year state,WPI,0.00036509414102985115,0.0003175258150814827,0.0006654637321698253
3,Prokaryote-dominated late-year state,MHW_MeanInt,0.0010522150378966977,0.000780876948762704,0.0011874047918467364
3,Prokaryote-dominated late-year state,MHW_MaxInt,6.587858874196284e-05,0.0006157138829337365,0.001316607508113148
3,Prokaryote-dominated late-year state,MHW_CumInt,0.0002617731737965782,0.00043963932574118893,0.0010297066055304474
