Months,Observed_State,Explained_State,State_Name,Feature,Feature_Value,SHAP_Value
2003-01-01,1,1,Diatom-associated early-year state,SST,10.6536,0.9835877998512855
2003-01-01,1,1,Diatom-associated early-year state,NO3,2.066182,0.42142944791070636
2003-01-01,1,1,Diatom-associated early-year state,PO4,0.05948071,0.12674432270989056
2003-01-01,1,1,Diatom-associated early-year state,SPCo2,23.79095,1.394701801191618
2003-01-01,1,1,Diatom-associated early-year state,MLD,43.70361,0.02136954071963692
2003-01-01,1,1,Diatom-associated early-year state,SSS,32.569,0.5562708170914267
2003-01-01,1,1,Diatom-associated early-year state,SSH,0.1942705,0.592812135020126
2003-01-01,1,1,Diatom-associated early-year state,PAR,18.2643,0.05935966187599616
2003-01-01,1,1,Diatom-associated early-year state,PDO,1.45,-0.6765337922355916
2003-01-01,1,1,Diatom-associated early-year state,NINO_3.4,0.98,-0.1642373870833239
2003-01-01,1,1,Diatom-associated early-year state,WPI,-0.14,0.10949025524390144
2003-01-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0131404711513522,-0.011472598129344154
2003-01-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.0143618905291345,0.09688583833858103
2003-01-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.0881562968539932,-0.04424085529531631
2003-02-01,1,1,Diatom-associated early-year state,SST,9.226859,1.2404379446927274
2003-02-01,1,1,Diatom-associated early-year state,NO3,1.872806,0.47436750056596333
2003-02-01,1,1,Diatom-associated early-year state,PO4,0.04826096,0.09994976013731048
2003-02-01,1,1,Diatom-associated early-year state,SPCo2,23.73429,1.3919824778165921
2003-02-01,1,1,Diatom-associated early-year state,MLD,36.24125,-0.101177349357008
2003-02-01,1,1,Diatom-associated early-year state,SSS,32.64018,0.9315980627553202
2003-02-01,1,1,Diatom-associated early-year state,SSH,0.234562,-0.08597007567438487
2003-02-01,1,1,Diatom-associated early-year state,PAR,23.45697,-0.10059395123764836
2003-02-01,1,1,Diatom-associated early-year state,PDO,1.23,0.23292111702425622
2003-02-01,1,1,Diatom-associated early-year state,NINO_3.4,0.64,-0.14643340858861334
2003-02-01,1,1,Diatom-associated early-year state,WPI,0.17,0.0908546676115708
2003-02-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0171045352936157,0.0033219200633741747
2003-02-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.0203522111820129,-0.03866458914161587
2003-02-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.0855226764680788,-0.027384935600023544
2003-03-01,1,1,Diatom-associated early-year state,SST,9.888013,1.249353536907765
2003-03-01,1,1,Diatom-associated early-year state,NO3,1.789827,0.4873554951107616
